index	sentence	check	triplet
3041	지강관의 뚫림하중이 접합부의 같은 평면 상에서 다른 지강관의 하중과(20% 이내로) 평형을 이룬다면, 그 접합을 K형 접합으로 분류한다.	1	['뚫림하중이', '평형을', '이룬다면']
3042	웨브는 주요 시공단계에서 아래 식을 만족해야 한다.	1	['웨브는', '식을', '만족해야 한다.']
3043	또한 횡방향 철근의 최대간격은 강재코어의 설계항복강도가 450MPa 이하일 경우에는 부재단면에서 최소크기의 0.5배를 초과할 수 없으며 강재코어의 설계기준 항복강도가 450mPa를 초과하는 경우는 부재단면에서 최소크기의 0.25배를 초과할 수 없다.	1	['항복강도가', '450mPa를', '초과하는']
3044	유효길이계수는 1.0을 사용할 수 있다.	1	['유효길이계수는', '1.0을', '사용할']
3045	철근콘크리트 전단벽이 강재요소와 합성적으로 거동하는 경우에 부록 C.2.8의 요구사항들을 적용한다.	0	
3046	앵커에 가해지는 힘은 지름을 갖는 앵커에 상응하는 값으로 제한된다.	0	
3047	연결판은 다음과 같은 단면의 압축 및 인장플랜지 모두에 대해 용접 또는 볼트를 이용해 연결되어야 한다.	0	
3048	내구성 감소계수는 내구성능 특성값 및 내구성능 예측값의 정밀도에 대한 안전율로서 적용한다.	0	
3049	수직가새나 다이아프램이 하중을 받는 경우에는 이에 저항하도록 설계해야 한다.	0	
3050	표 4.2-6에 주어진 콘크리트에 완전 매입된 H형강 단면의 공칭부착응력은 플랜지에 대한 콘크리트의 최소 유효 피복두께가 40mm이고 4.2.8.2.1.5의 (1)과 (2)를 만족하고,  4.2.8.2.1.1에 따른 횡방향 철근과 길이방향 철근이 있는 단면에 적용할 수 있다.	0	
3051	이음점에서의 강도한계상태의 설계하중에 의한 휨응력과 볼트 이음의 미끄러짐에 대한 검토를 위한 휨응력은 전체단면을 사용하여 구한다.	0	
3052	합성콘크리트 휨부재에서 수평전단력이 상호 연결된 요소들의 접촉면에서 충분히 전달되는지 여부를 확인하여야 한다.	0	
3053	경간 중앙부의 경우 긴장재간의 수직 간격을 부재단의 경우보다 좁게 하거나 다발로 사용할 수 있다.	0	
3054	정착에 대한 검토는 계수하중을 받을 때 전체 설계강도를 발휘하여야 하는 부재 양 단부에서 가장 가까이 위치한 단면에 국한하여 실시하여야 한다.	0	
3055	옹벽은 상재하중, 뒤채움 흙의 중량, 옹벽의 자중 및 옹벽에 작용되는 토압, 필요에 따라서는 수압에 견디도록 설계하여야 한다.	0	
3056	철근콘크리트 기둥이나 합성기둥, 강재보나 합성보, 그리고 강재 가새나 합성가새로 이루어진 보통 중심 가새골조는 설계지진력이 작용할 때 보, 기둥, 가새 및 접합부에 제한된 비탄성 거동이 발생한다는 가정 하에서 부록 C.2.6에 기술된 조항을 적용한다.	1	['가새골조는', '조항을', '적용한다.']
3057	개구부의 둘레 모든점에서의 곡률반경은 38mm 이상으로 한다.	0	
3058	책임구조기술자에 의해 슬래브 내에 도관을 묻도록 허가된 경우 슬래브 두께가 어느 위치에서나 도관의 전체 높이보다 25mm 이상 크게 하여야 한다.	0	
3059	이때 띠철근이나 스터럽의 크기와 간격은 4.4.2(3)의 규정을 만족하여야 한다.	1	['간격은', '규정을', '만족하여야 한다.']
3060	접합부는 30 KN 이상 지지하도록 설계해야 한다.	0	
3061	안전성능의 검증에서 부록.5.4에 따른 휨모멘트 재분배를 고려한 선형탄성 해석, 부록.5.5에 따른 선형비탄성 해석, 부록.5.6에 따른 소성해석, 부록.5.7에 따른 비선형해석을 적용한 경우에는 회전각을 한계값으로 하여 회전변형능력을 검증하여야 한다.	0	
3062	이때 전단키는 전단력에 대하여 설계되어야 한다.	0	
3063	수평보강재가 없는 웨브는 다음을 만족해야 한다.	0	
3064	나선철근의 순간격은 25mm 이상, 75mm 이하이어야 한다.	0	
3065	설계층간변위 역시 KDS 41 10 15(6)의 규정을 따른다.	0	
3066	임계용접부로 지정된 곳의 용접은 용접 제조자의 보증 또는 표준시험법에 의해 –30℃에서 28 J 이상의 CVN인성 값을 지닌 용입재를 사용한다.	1	['용접은', '용입재를', '사용한다.']
3067	이 경우 2차 효과를 포함한 골조전체의 안정성해석을 해야 한다.	0	
3068	유효순단면의 파괴에 대한 공칭인장강도는 다음 식과 같다.	0	
3069	중간 모멘트골조의 보 소성힌지 영역은 보호영역으로 고려되어야 한다.	0	
3070	전단연결재 위의 콘크리트 피복덮개 높이는 50mm 이상이어야 한다.	0	
3071	서로 다른 메커니즘들의 기여도는 이러한 메커니즘들의 강성과 변형능력이 서로 적합조건을 만족할 때에 한하여 합산이 가능하다.	0	
3072	긴장재의 전달길이는 강연선의 경우는 지름의 50배, 단일 강선의 경우 지름의 100배로 가정할 수 있다.	0	
3073	유효폭 내의 강재보에 평행한 슬래브철근은 적절히 정착해야 한다.	0	
3074	기초의 상단으로부터 그리고 각층에서 가장 낮은 위치의 보나 슬래브 상단으로부터 띠철근 간격의 1/2 위치 내에 첫 번째 띠철근이 배근해야 한다.	0	
3075	형상미닫이식 수문은 사용 목적에 따라서 확실히 개폐되고, 저부 방류 때에도 가급적 진동이 적고, 하향력 또는 상향력이 적은 형상으로 해야 한다.	0	
3076	양방향 접합부(양측 접합부)에서 연속 판두께는 연결되는 보플랜지의 두께 중 큰 것 이상으로 한다.	0	
3077	주요 시공단계에서 4.3.3.1.3.2(1)~4.3.3.1.3.2(3)의 규정은 U형단면 박스의 상부플랜지에만 적용해야 한다.	0	
3078	다만, 표 3.3-1~표 3.3-3에 항복강도와 인장강도가 정의되지 않은 강재는 표 3.1-1의 관련 KS에 명시된 재료 강도값을 사용한다.	1	['강재는', '강도값을', '사용한다.']
3079	허용압축응력은 다음 식에 따라 산정한다.	0	
3080	고려하는 변위의 방향으로의 모멘트저항골조의 기둥이 구조물에 작용하는 전체중력하중의 1/3이하를 받을 경우 4.5에 기술된 근사2차해석법은 엄격한 2차해석 대신 사용될 수 있다.	0	
3081	면외력을 받는 평판을 보강하는 경우에는 평판의 휨과 응력이 한계치를 넘지 않도록 보강재의 배치와 강도를 정하는 동시에, 보강재에 대해서도 안전성 조사를 실시하는 것을 원칙으로 한다.	0	
3082	콘크리트의 설계기준압축강도가 90MPa을 초과하는 경우에는 성능실험을 통한 조사연구에 의하여 콘크리트 압축연단의 극한변형률을 선정하고 근거를 명시하여야 한다.	0	
3083	구조용 강재는 부식에 대한 충분한 저항성을 갖도록 설계한다.	0	
3084	해석과 설계에 고려하여야 하는 재료특성은 다음과 같은 사항을 포함하여야 한다.	1	['재료특성은', '사항을', '포함하여야 한다.']
3085	슬래브를 지지하고 있는 부재의 상대적 처짐에 의한 슬래브의 단면력 변화를 별도로 고려하여야 한다.	0	
3086	하중도입부의 길이는 하중작용방향으로 합성부재 단면의 최소폭의 2배와 부재길이의 1/3 중 작은 값 이하로 한다.	0	
3087	원형단면 부재를 계산하기 위한 단면적을 콘크리트 단면의 유효깊이와 지름의 곱으로 구하여야 한다.	0	
3088	특수중심 가새골조의 가새부재의 보호영역은 가새길이의 중앙부 1/4 영역과 각 접합부로부터 가새부재의 좌굴면의 높이만큼 인접한 영역을 포함한다.	1	['보호영역은', '영역을', '포함한다.']
3089	잔류수압잔류수압은 전면수위와 잔류수위에 따라서 산출한다.	0	
3090	고려 중인 단면에서 인장플랜지에 구멍이 있는 경우 인장플랜지는 4.3.3.1.1.8의 요구조건을 만족해야 한다.	1	['인장플랜지는', '요구조건을', '만족해야 한다.']
3091	마찰손실을 계산할 때 파상마찰계수와 곡률마찰계수는 시험에 근거하여 결정하여야 하며, 긴장 작업을 할 때 이를 검증하여야 한다.	0	
3092	두 개 이상의 타이가 연결된 절점영역에서, 각 방향의 타이 단면력은 확장절점영역의 경계면과 철근타이의 도심이 교차하는 곳부터 각각 확장절점영역 내측으로 정착시켜야 한다.	0	
3093	2축 대칭단면 부재의 값이 0.1 이상 0.9 이하로서 기하축(축 또는/과 축)으로만 휨이 발생하도록 구속된 1축 및 2축 대칭단면 부재에 있어서 휨과 압축력의 상관관계는 식 (4.4-1)과 식 (4.4-2)에 의해 제한된다.	0	
3094	가새부재의 설계 및 실험을 위한 가새부재 최대변형은 상기 (1)에서 정의한 하중에 의한 보의 수직 처짐효과를 포함하여 증가된 값으로 산정한다.	0	
3095	연속성을 확보하기 위해서 이음이 필요할 때 상부철근의 이음은 경간 중앙 또는 그 부근에서, 하부철근은 받침부 또는 그 부근에서 B급 인장겹침이음 또는 KDS 14 20 52(4.5.1(3))을 만족하는 기계적이음 또는 용접이음으로 이어져야 한다.	0	
3096	기초부 주변의 흙을 충분히 다짐한 경우에 한하여 측압에 따른 흙의 수평저항을 고려할 수 있다.	0	
3097	쉘 슬래브의 평면 축에 대한 전단력과 휨모멘트에 대한 철근은 KDS 14 20 20, KDS 14 20 22, KDS 14 20 70(4.1)에 따라 산정하여야 한다.	0	
3098	구조벽체의 모든 연속철근의 이음과 정착은 다음 사항을 제외하고, KDS 14 20 52(4.4.1)의 인장을 받는 철근에 대한 규정을 따라야 한다.	1	['정착은', '사항을', '제외하고']
3099	기타 사항은 콘크리트구조설계기준에 따른다.	0	
3100	표준구멍과 하중방향에 직각인 단슬롯의 경우 볼트접합과 하중방향에 평행한 필릿용접이 하중을 각각 분담할 수 있다.	1	['필릿용접이', '하중을', '분담할']
3101	웨브 이음의 볼트는 최대 볼트설계력에 대해 마찰접합으로 설계해야 한다.	0	
3102	여기서 에폭시 줄눈은 내적 긴장재를 사용하는 교량, 동결융해작용을 받거나 결빙방지제의 영향을 받는 교량에 사용하며, 건식줄눈은 동결융해나 결빙의 영향을 받지 않는 지역의 외적 포스트텐셔닝 긴장재와 관련된 교량에 사용하여야 한다.	0	
3103	하중이 바닥판을 통하여 전달되지 않고 집중하중을 직접 받는 지점부 등에 있는 지압보강재가 없는 웨브는 B.5.2 및 B.5.3의 규정에 따라 웨브 국부항복과 웨브 크리플링 한계상태에 대하여 검토해야 한다.	0	
3104	압축부재에서 각 부재별 횡철근은 다음 규정을 따라야 한다.	1	['횡철근은', '규정을', '따라야 한다.']
3105	힘이 직접부착작용에 의해 충전형 합성부재 및 매입형 합성부재에 전달되는 경우, 강재와 콘크리트 사이의 설계부착강도는 다음과 같이 구한다.	0	
3106	단면력 계산법타이로드식 널말뚝에 작용하는 최대 휨모멘트는 타이로드 설치점 및 해저면을 지점으로 가정하고, 해저면 위의 토압과 잔류수압이 하중으로 작용하는 단순보로 가정하여 구한다.	1	['휨모멘트는', '해저면을', '가정하고']
3107	도심을 지나는 직선상에서 잰 최소 단면치수는 300mm 이상이어야 한다.	0	
3108	노즐 및 부속품 장치부는 일반적으로 운전 중외에도 지진, 강풍, 온도변화에 의한 변위에 대해서 안전한 구조로 한다.	0	
3109	식 (4.2-1)의 값과 식 (4.2-4)의 장기처짐 효과를 고려하여 계산한 처짐량이 표 4.2-2에 제시된 최대 허용처짐값 이하이어야 한다.	0	
3110	공기량 시험은 KS F 2409 및 KS F 2421을 따라야 한다.	1	['시험은', 'KS F 2421을', '따라야 한다.']
3111	프리캐스트콘크리트 부재는 영구적인 접합이 완료될 때까지 적절한 배치와 구조적 건전성을 보장하기 위하여 설치하는 동안에 적절한 버팀대와 받침대를 설치하여야 한다.	1	['부재는', '받침대를', '설치하여야 한다.']
3112	비틀림 보강철근의 상세나 최소 비틀림 보강철근량 및 최대 비틀림 보강철근량은 검증된 방법에 의하여 정할 수 있다.	0	
3113	전단력을 받는 앵커의 공칭강도는 ①에서 ③까지 규정된 값 이하이어야 한다.	0	
3114	집중하중이 작용하는 격점부나 받침부는 국부적인 변형을 방지하기 위해 링보강재 또는 다이아프램으로 보강하는 것을 원칙으로 한다.	1	['받침부는', '것을', '원칙으로 한다.']
3115	표준갈고리가 필요한 경우에는 휨모멘트에 저항하는 종방향 철근의 끝단이 기둥의 중심을 향하도록 하여 기초의 밑면에서 90°표준갈고리로 설치하여야 한다.	0	
3116	전단연결재의 중심에서 스터드 전단연결재의 높이에 직교한 콘크리트 단부까지의 거리가 스터드 전단연결재 상단까지 높이의 1.5배 미만이고, 스터드 전단연결재의 중심 간 간격이 스터드 전단연결재 상단까지 높이의 3배 미만인 경우, 스터드 전단연결재의 1개에 대한 공칭인장강도는 다음 중 1가지 방법으로 구한다.	0	
3117	2개를 초과하는 박스거더 단면을 갖는 경우에는 박스단면의 모든 요소는 파괴유발부재로 간주하지 말아야 한다.	0	
3118	2방향전단에 관한 설계강도는 콘크리트와 전단보강철근의 전단기여도를 고려하여 계산하며 개구부의 영향을 고려하여야 한다.	0	
3119	두 축방향의 횡하중, 인접 경간의 하중 불균형 등으로 인하여 압축부재에 2축 휨모멘트가 작용되는 경우에는 2축 휨을 받는 압축부재로 설계하여야 한다.	0	
3120	스트럿과 타이의 단면력을 스트럿-타이 모델의 구조해석을 통해 계산하여야 한다.	0	
3121	옹벽구조물의 설계는 이 기준의 규정에 따른다.	0	
3122	등분포 수직응력에 대한 판 좌굴계수는 아래와 같이 구한다.	0	
3123	최대 허용 폭두께비는 표 4.2-5를 따른다.	1	['폭두께비는', '4.2-5를', '따른다.']
3124	슬래브 시스템이 횡하중을 받는 경우 횡력해석과 연직하중의 해석 결과는 조합하여야 한다.	0	
3125	작용 응력의 크기, 온도 및 시멘트의 종류에 따라 식 (3.1-2)의 크리프계수는 다음과 같이 보정하여야 한다.	0	
3126	조사 및 시험은 육안 관찰 결과 유지관리 또는 사용제한 사항 등에 관한 점검결과 및 진단결과를 기록하여야 한다.	1	['시험은', '진단결과를', '기록하여야 한다.']
3127	직선 거더가 각을 이루고 연속으로 연결된 교량 또는 수평 곡선 거더 교량의 합성단면은 비조밀단면으로 간주하며 4.3.3.1.7.2를 만족해야 한다.	1	['합성단면은', '4.3.3.1.7.2를', '만족해야 한다.']
3128	1지간 내에 2개 이상의 중간 내측 다이아프램이 설치된 경우에 플랜지-웨브 연결은 필릿용접을 사용할 수 있다.	1	['연결은', ' 필릿용접을', ' 사용할']
3129	원형단면 또는 정다각형 단면의 콘크리트 기둥이나 주각은 휨모멘트와 전단력에 대한 위험단면의 위치를 결정할 때 면적이 같은 정사각형 부재로 취급할 수 있다.	0	
3130	이 기준은 구조용 무근콘크리트구조의 설계방법을 제시하고 부재의 안전성을 확보하기 위한 최소한의 요구조건을 규정한다.	1	['기준은', '요구조건을', '규정한다.']
3131	이 기준은 콘크리트구조의 내구성에 관한 설계방법과 최소한의 요구조건을 규정한다.	1	['기준은', '요구조건을', '규정한다.']
3132	내구성을 요하는 구조물일 경우 파형강판, 볼트, 너트 및 기타 금속 자재는 용융아연도금 등의 부식방지 처리를 한다.	0	
3133	프리스트레스를 가하지 않은 휨부재는 설계휨강도 해석에서 구한 중립축의 깊이가 다음 값의 최대 허용중립축깊이 이하이어야 한다.	0	
3134	밀착조임 볼트, 장력도입 볼트, 또는 나사 강봉의 설계인장강도 또는 설계전단강도는 인장파단과 전단파단의 한계상태에 대하여 다음과 같이 산정한다.	0	
3135	고장력 볼트의 설계볼트장력은 표 4.3-1에 따른다.	0	
3136	동해에 대한 내구성능 한계상태는 콘크리트의 표면박리 및 균열이 발생할 때의 최소 상대동탄성계수로 할 수 있다.	0	
3137	철골보 또는 합성보를 철근콘크리트 기둥 또는 매입형 합성기둥과 접합하는 경우에는 횡방향 후프를 KDS 14 20 80(4.4)의 요구사항을 만족하도록 기둥의 접합부영역 내에 설치해야 한다.	0	
3138	간접 횡지지는 기둥 플랜지에 직접 부착되지는 않지만 기둥 웨브나 보강재 플레이트를 통해 작용하는 부재나 접합부의 강성에 의한 횡지지를 지칭한다.	1	['횡지지는', '횡지지를', '지칭한다.']
3139	일반사항인장플랜지에 구멍이 있는 인장플랜지는 4.3.3.1.1.8을 만족해야 한다.	1	['인장플랜지는', '4.3.3.1.1.8을', '만족해야 한다.']
3140	그라우트로 채워 높인 부위에 사용되는 앵커에 대하여 (2)의 공칭강도에 계수 0.80을 곱하여야 한다.	0	
3141	슬래브 시스템은 평형조건과 기하학적 적합조건을 만족한다면 어떠한 방법으로도 설계할 수 있다.	0	
3142	옹벽을 설계할 때, 콘크리트의 수화열, 온도변화, 건조수축 등 부피변화에 대한 별도의 구조해석이 없는 경우 신축이음을 설치할 수 있으며, 부피변화에 대한 구조해석을 수행한 경우는 신축이음을 두지 않고 수평철근을 연속으로 배치할 수 있다.	0	
3143	경간 내 다른 단면의 재분배 휨모멘트를 계산할 때는 감소시킨 휨모멘트를 사용하여야 한다.	0	
3144	인장역 작용을 이용하여 단부 패널, 큰 구멍이 있는 패널, 큰 구멍이 있는 패널의 인접패널 등을 설계하는 경우의 값은 식 (4.5-19) 이하이어야 한다.	0	
3145	파도하중파도하중은 구조물의 종류, 형상, 구조물이 건설되는 해역의 지형 등에 따라서 다르며, 이에 따라 합리적인 하중을 선정하여야 한다.	0	
3146	슬래브의 전단강도는 (1)과 (2)에 따라 하중이 보에 분배된다는 가정에 의해 산정하여야 한다.	0	
3147	기초구조물의 회전 및 이동이 예상되는 경우에는 골조의 설계에 그 영향을 고려한다.	0	
3148	철근 및 콘크리트의 품질은 KDS 14 20 01을 따른다.	1	['품질은', 'KDS 14 20 01을', '따른다.']
3149	합성가새는 4.2.1.4.1, 4.2.1.5 그리고 C.2.6.1의 합성기둥에 대한 요구사항을 만족해야 한다.	1	['합성가새는', '요구사항을', '만족해야 한다.']
3150	평면유지 가정이 유효하지 않은 영역의 설계는 스트럿-타이 설계법을 적용하여야 한다.	1	['설계는', '설계법을', '적용하여야 한다.']
3151	이러한 가상하중은 4.2.1.2(2)④와 상관없이 불완정성을 고려하는 가상하중에 더해진다.	0	
3152	더 정밀한 해석을 수행하지 않는 한, 플랜지를 갖는 단면의 유효플랜지는 복부 면부터 인접 벽체 복부까지 거리의 1/2과 벽 전체 높이의 1/4 중 작은 값으로 하여야 한다.	0	
3153	프리캐스트콘크리트 접합부에서 그라우트 연결, 전단키, 기계적이음장치, 철근, 보강채움 또는 이들의 조합 등을 통해 힘이 전달되도록 하여야 한다.	0	
3154	가설 지주가 설치되지 않은 구조물의 경우, 프리스트레스되지 않은 프리캐스트 휨부재의 두께가 표 4.2-1에 규정된 값 이상인 경우는 처짐을 계산할 필요가 없다.	0	
3155	일정진폭응력에 대한 각 상세별 공칭피로강도는 다음과 같다.	0	
3156	최대 링크회전각에서 기둥 플랜지면 접합부의 강도는 C.1.6.1.2의 공칭전단강도 이상이어야 한다.	0	
3157	고장력볼트의 공칭구멍직경은 표 4.1-1에 따른다.	0	
3158	소요압축강도 및 인장강도는 아래의 값 중 어느 것도 초과할 필요는 없다.	0	
3159	접합된 부재의 설계강도가 공칭치수와 공칭재료강도에 근거할 때 접합부의 설계강도의 계산은 접합된 부재의 실제강도의 증가에 따른 효과를 고려해야 한다.	1	['계산은', '효과를', '고려해야 한다.']
3160	파스너로 접합된 보의 덧판 단면적은 전체 플랜지 단면적의 70%를 넘지 않아야 한다.	1	['단면적은', '70%를', '넘지']
3161	프리캐스트콘크리트 부재 및 구조는 설계하중 조합에 의하여 계산된 소요강도 이상의 설계강도를 가져야 한다.	1	['구조는', '설계강도를', '가져야 한다.']
3162	겹침이음은 부재의 중앙부에서 부재 길이의 1/2 구역 내에서만 할 수 있고 인장이음으로 설계하여야 하며, 또한 4.5.4((2), (3))의 규정을 따르는 횡방향 철근으로 둘러싸야 한다.	0	
3163	스터드 전단연결재는 KDS 14 31 10(4.2와 4.3)의 요구사항을 만족해야 한다.	1	['전단연결재는', '요구사항을', '만족해야 한다.']
3164	D16 이하의 철근을 스터럽과 띠철근으로 사용할 때, 표준갈고리의 구부림 내면 반지름은 2 이상으로 하여야 한다.	0	
3165	철근응력이 직접적으로 휨모멘트에 비례하지 않는 휨부재의 인장철근은 적절한 정착을 마련하여야 한다.	1	['전단연결재는', '요구사항을', '만족해야 한다.']
3166	합성특수 모멘트골조에 사용된 충전형 합성기둥은 상기 (1)과 (2)의 요구사항과 함께 다음의 추가적인 요구사항을 만족해야 한다.	1	['합성기둥은', '요구사항을', '만족해야 한다.']
3167	주강관과 지강관의 폭이 동일하지 않다면 이러한 한계상태는 검토할 필요가 없다.	0	
3168	콘크리트에 완전히 매입된 강재보는 전단연결재가 없어도 완전합성으로 간주하며, 횡좌굴을 고려하지 않아도 된다.	1	['강재보는', '횡좌굴을', '고려하지 않아도 된다.']
3169	화재 시 강구조물의 설계하중은 고정하중, 활하중, 적설하중 등을 우선적으로 고려해야 하며, 그 이외의 경우에는 해당 강구조물의 하중조건에 맞도록 설정할 수 있다.	1	['설계하중은', '등을', '고려해야 하며']
3170	강구조 건축물의 내진성능 검증, 품질확보 계획 및 용접규정은 KDS 41 31 00(4.19)의 관련 조항을 따른다.	1	['용접규정은', '조항을', '따른다.']
3171	크리프 변형을 계산할 때 콘크리트의 초기접선탄성계수는 KDS 14 20 10(식 (4.3-4))로 구하여야 한다.	0	
3172	유효좌굴길이법의 사용은 다음과 같은 조건을 만족해야 한다.	1	['사용은', '조건을', '만족해야 한다.']
3173	지진력 저항시스템에 속하지 않는 기둥이라도 이의 이음부에는 이 기준의 규정을 적용한다.	0	
3174	모든 부재의 유효좌굴길이계수는 1의 값을 사용한다.	1	['유효좌굴길이계수는', '값을', '사용한다.']
3175	축력과 휨모멘트의 지배를 받는 구조벽체와 그의 부분벽은 KDS 14 20 20((4.1.1)와 (4.1.2))에 따라 설계하여야 한다.	0	
3176	단면의 강재 부분의 소성력은 플랜지, 웨브 및 철근의 항복응력을 사용하여 계산한다.	0	
3177	깊은보에 대해서는 4.4.2(5)와 4.4.3(4)에 따라야 한다.	0	
3178	데크플레이트의 골방향이 강재보와 평행인 경우골 내부의 콘크리트는 합성단면의 성능산정에 포함될 수 있으며 계산에 포함한다.	0	
3179	골조 또는 연속구조물의 모든 부재는 4.3.2에 따라 수정되는 경우 이외에는 계수하중으로 탄성이론에 의해 결정된 최대 단면력에 대하여 설계하여야 한다.	0	
3180	고려하는 방향에서 슬래브 판에 대한 전체 정적 계수휨모멘트가 식 (4.1-2)에 의해 요구된 휨모멘트보다 작지 않은 범위 내에서 정 및 부계수휨모멘트는 10%까지 수정할 수 있다.	0	
3181	유수 등에 의한 심한 침식이나 심한 마모가 우려되는 환경에서는 필요한 만큼 피복두께를 증가시키거나 침식 또는 마모를 방지하기 위한 별도의 조치를 강구하여야 한다.	0	
3182	이때 재시험한 구조물의 해당부분의 회복이 다음 부록 식(4.2-3)의 조건을 만족하는지를 평가할 수 있다.	0	
3183	슬래브의 정모멘트 철근 및 부모멘트 철근의 중심 간격은 위험단면에서는 슬래브 두께의 2배 이하이어야 하고, 또한 300mm 이하로 하여야 한다.	0	
3184	프리캐스트콘크리트 벽판이 기둥이나 독립기초판의 수평연결 부재로 설계되는 경우 깊은보 작용이나 횡좌굴과 처짐에 대한 영향을 설계에 고려하여야 한다.	0	
3185	스트럿, 타이 그리고 절점영역의 설계는 식 (4.1-1)에 따라야 한다.	0	
3186	인장력을 받는 스터드 전단연결재의 길이는 몸체직경의 10배 이상으로 한다.	0	
3187	이 절은 축력과 휨모멘트를 받는 1축 또는 2축 대칭인 단면재에 적용한다.	0	
3188	접합형상이 다음 한계 내에 있을 때에만 이 규정을 적용할 수 있다.	0	
3189	해풍, 해수, 제빙화학제, 황산염 및 기타 유해물질에 노출된 콘크리트는 4.1.3에서 규정하는 노출등급에 따라 4.1.4의 조건을 만족하는 콘크리트를 사용하여야 한다.	1	['콘크리트는', '콘크리트를', '사용하여야 한다.']
3190	기둥외주면에서 접합부의 계측휨강도는 0.04 rad의 층간변위에서 적어도 보의 80% 이상을 유지해야 한다.	1	['계측휨강도는', '이상을', '유지해야 한다.']
3191	겹침이음은 접합부의 내부, 접합면부터 부재 깊이의 2배 이내의 거리 구간, 구조해석에서 골조의 비탄성 횡변위에 의한 휨 항복이 일어나는 곳에서 사용할 수 없다.	0	
3192	좌굴방지 가새골조의 보 및 기둥의 소요강도는 KDS 41 00 00의 하중조합에 의해 산정한다.	0	
3193	압축 또는 인장을 받는 U형단면의 상부플랜지는 다음 조건을 만족해야 한다.	1	['상부플랜지는', '조건을', '만족해야 한다']
3194	앵커철근 설계에 강도감소계수는 0.75를 사용한다.	1	['강도감소계수는', '0.75를', '사용한다.']
3195	길이방향의 최소 중심간격은 슬롯길이의 2배로 한다.	0	
3196	추가적인 가상하중은 가장 큰 불안정화 효과를 주는 방향으로 적용된다.	0	
3197	4.3.3.1.1.6의 규정은 U형단면의 상부플랜지에만 적용해야 한다.	0	
3198	포스트텐션 긴장재의 마찰손실은 식(4.3-1)로 계산하여야 한다.	0	
3199	1축대칭 부재, 비대칭 부재, 균일압축을 받는 비세장판 요소를 가진 ＋형 또는 조립기둥과 같은 2축대칭 부재에 적용한다.	0	
3200	4.2.6, 4.2.8 그리고 4.2.10의 합성 보통 내진시스템에 사용되는 콘크리트와 철근은 KDS 14 31 10(4.2.8.1.2)와 KDS 14 20 00의 요구사항을 만족해야 한다.	1	['철근은', '요구사항을', '만족해야 한다.']
3201	휨부재의 경간 내에서 끝나는 한 다발철근 내의 개개 철근은 40 이상 서로 엇갈리게 끝나야 한다.	0	
3202	브레이싱 양 지점에서 모멘트가 0이거나 플랜지에 인장응력을 발생시키는 경우에는 0으로 한다.	0	
3203	수축⋅온도철근은 4.6.2 또는 4.6.3의 규정에 따라야 한다.	0	
3204	또한, 단면 뒤틀림에 의한 횡방향 휨응력은 4.3.3.2.5에 규정된 피로와 강도한계상태에 대하여 고려되어야 한다.	0	
3205	현장치기콘크리트 기둥과 주각의 경우, 접촉면 사이의 철근 단면적은 지지되는 부재 단면적의 0.005배 이상으로 하여야 한다.	0	
3206	설계 이전에 구조물의 목적, 용도, 사용조건, 환경조건에 기초하여 설계조건을 정하고 구조형식을 선정하는 등 기본계획을 이해하여 경제적인 설계를 하여야 한다.	0	
3207	(5)에 의해 결정되지 않는 경우, 앵커의 최소 중심 간격은 비틀림이 가해지지 않는 선설치앵커에서 4, 비틀림이 가해지는 선설치앵커 및 후설치앵커에서 6이어야 한다.	0	
3208	강재보의 상단은 슬래브의 상부 면에서 최소 40mm아래에, 슬래브 하부 면에서 최소 50mm위에 설치되어야 한다.	0	
3209	단, 부재길이의 0.8배 이상으로 한다.	0	
3210	압축력을 받는 지압부의 설계는 식(4.2-11)의 조건에 만족하도록 하여야 한다.	0	
3211	아치 리브의 상, 하면에 축방향 철근에 직각인 횡방향 철근을 배치하여야 한다.	0	
3212	이때 유효경계는 그 앵커 헤드의 바깥쪽 가장자리부터 와셔나 플레이트의 두께를 더한 값을 초과할 수 없다.	1	['유효경계는', '값을', '초과할']
3213	중간 모멘트골조의 요구사항을 충족하더라도 보의 높이가 750mm를 초과하는 경우에는 보통 모멘트골조로 분류한다.	0	
3214	단, KDS 14 20 20(4.1.1(9))에 따라 횡방향 구속효과를 고려하는 경우에는 이 값을 초과할 수 있다.	0	
3215	횡방향 하중은, 부재에 작용하는 다른 하중을 제외하고, 이음부에 작용시켜야 한다.	0	
3216	전단머리가 있는 슬래브의 경우, 유효하지 않은 둘레부분은 상기 (2)에서 정의된 부분의 절반으로 보아야 한다.	0	
3217	또한, 주구조재와 기초간의 부착설계 또한 콘크리트구조설계기준을 따른다.	0	
3218	이때 상기 (3)의 ②와 ③의 보정계수 0.8을 적용할 수 없다.	0	
3219	만약, 필릿용접을 사용할 때는 연결플랜지 또는 웨브의 양측 모두를 용접해야 한다.	0	
3220	또한 기둥이나 보의 단부부터 또는 비선형 횡변위에 의해 철근의 항복이 발생할 수 있는 단면부터 부재 깊이의 2배만큼 떨어진 거리 안에서 사용할 수 없다.	0	
3221	지압폭과 지압면 양측 면에서 수직으로 2, 수평으로 1의 비율로 확대한 폭을 더한 값과 같다.	0	
3222	편심을 최소화할 수 있도록 핀의 위치를 결정한다.	0	
